epoch,accuracy,shap_X,shap_Y,shap_A,shap_B,shap_EOS,shap_total
168,1.0,0.00305860648195453,0.0001497872079176751,0.0025307911980901278,0.012777523561509142,0.010133495805311508,0.02865020425478298
169,1.0,0.007082949443113523,0.00030929531273137163,0.003762083041125911,0.016244169220715546,0.009934812826839416,0.03733330984452577
170,1.0,0.0061370425790385815,0.00031153336900037107,0.004470978603845398,0.017376418938548313,0.010806350081659007,0.03910232357209167
171,1.0,0.005701122531968644,0.0003427830526891776,0.004039977008999733,0.014171670669852077,0.011074289239656684,0.035329842503166314
172,1.0,0.011749555586138024,0.0006363836838872792,0.004873849524700089,0.020087713283328576,0.011370569431799853,0.04871807150985383
173,1.0,0.007463098146450252,0.0004793175930407267,0.00657450082690024,0.026935075773026357,0.01400402036373872,0.055456012703156296
174,1.0,0.00446027239068288,0.0002412948925187809,0.0034470980240426437,0.0149182890190884,0.008253826142523147,0.03132078046885585
175,1.0,0.009398291956127689,0.0006613162552234506,0.004450232181058054,0.01856918513505803,0.01583973053265835,0.04891875606012557
176,1.0,0.007875330509831609,0.0006250441420480038,0.005190855462618659,0.021591104942074533,0.012394154827964578,0.047676489884537376
177,1.0,0.004063001245605288,0.000264999033373268,0.004453907285220398,0.016178043730076665,0.008620551396420937,0.033580502690696554
178,1.0,0.014290470523807402,0.0007398649748350863,0.006754238035065179,0.024435355234316457,0.011381297045511057,0.05760122581353518
179,1.0,0.005242556292147716,0.00033574390684052097,0.0037313197441730837,0.017625162345205485,0.010825790448282725,0.03776057273664953
180,1.0,0.005299438662689257,0.00037438460115962524,0.003714220498815594,0.015937299405039355,0.009662289532265412,0.03498763269996924
181,1.0,0.004676395346672763,0.00027080089639450736,0.0022034998703495197,0.012634616150849728,0.007817241524989266,0.027602553789255784
182,1.0,0.0058245134279143965,0.000255331388017744,0.00793662570665035,0.02632757988848057,0.013537645978342673,0.05388169638940574
183,1.0,0.00705960173248427,0.0004097490826771096,0.004861545191013158,0.02220922972636564,0.01099622255922797,0.04553634829176815
184,1.0,0.011020673410231984,0.0008065268798664583,0.006961574162530494,0.028214511803961766,0.019344977735536534,0.06634826399212723
185,1.0,0.0047344444507558744,0.00027697319956755776,0.0030147291330181055,0.015707820866847837,0.009051127608117979,0.032785095258307355
186,1.0,0.007638585965952327,0.00045258702367697245,0.008343777091892364,0.0286940047856704,0.009691210332740594,0.05482016519993266
187,1.0,0.00824448161908069,0.00032350103516397044,0.004252463682670208,0.02029770992758575,0.01065836360934075,0.04377651987384137
188,1.0,0.0020643348018726535,0.00010161345622668455,0.005903594222391405,0.02052244513871921,0.008801840504643131,0.037393828123853085
189,1.0,0.004839412707181233,0.0002874842505030662,0.004460978482844633,0.020439794866039158,0.011417996965266209,0.0414456672718343
190,1.0,0.0009913733961644218,7.532545739538489e-05,0.004014873892667986,0.01762776621496529,0.012155349414815593,0.03486468837600868
191,1.0,0.006604744601923825,0.0004041633307777579,0.002693416881541702,0.013469041642371124,0.010915674349543165,0.03408704080615758
192,1.0,0.004702544689427185,0.00028457280181277674,0.004993840847078863,0.020031386010372673,0.01463371336066573,0.04464605770935723
193,1.0,0.010321124458742517,0.0006042401076151826,0.0036257548365405865,0.013774245543761986,0.0077253913343484585,0.03605075628100873
194,1.0,0.004335929051613158,0.00024329939871070612,0.004049951895439719,0.01681735716727891,0.007368609745651328,0.032815147258693826
195,1.0,0.007165849644904879,0.00036051934698711304,0.003574791876268029,0.014845970128915378,0.010516255324667954,0.036463386321743355
