train_loss,phi_star
4.139189937114716,5.232044524466349
4.152161285877228,4.771721330846014
4.113012719154358,4.771721330846014
4.118721601963043,5.117280162064395
4.146186912059784,5.117280162064395
4.116492788791657,5.027962905429245
4.128733270168304,5.027962905429245
4.115703866481781,4.657387939688382
4.1239854526519775,4.657387939688382
4.116015548706055,5.49001163481791
4.095142741203308,5.49001163481791
4.111406097412109,4.885486378705121
