state,phi_star
1010111110110100,4.4332201616759335
0100111100010111,4.432902474621407
0110111110001001,4.43273067583463
1000101111000010,4.432375050136748
0000101101010110,4.432008924944316
0000000111001011,4.431898799685933
0101101100100111,4.430215078803167
1110111110011011,4.430087055934422
0010011101100011,4.429470382733873
0010111101010010,4.429460571208402
1110110101110100,4.428941148787752
0111000111001001,4.428882538782446
1011100111100000,4.428533131392383
0011110001111111,4.428263517403151
0110100111010010,4.4276220823357075
0000011110010011,4.427241699184979
0001111101000011,4.427225560545014
0000000111100000,4.427069388173466
1111010111100101,4.426745912821604
0000010110000111,4.4256431559799605
0000001111100101,4.425225053397137
0010100110000100,4.425134032870259
0101110110011010,4.424740719509079
1010111101000010,4.4245956694948845
0010111101010100,4.42422274913105
0000110010011100,4.423608481621778
1001110100010100,4.422776710637358
0001000111111011,4.421738549100578
1101100110001101,4.421377938594921
1000110111100100,4.420026480376729
0000111011000101,4.4184689989756265
1111111110001101,4.417971759106132
1111110110011001,4.417354794633062
1000101111001011,4.416103955400254
0110001100000111,4.415063384193703
0010111100101000,4.414936283631484
0110110111110000,4.414923753012362
1111011111110110,4.414368548091277
1111111111000000,4.413826459860986
1100110111011101,4.413345934009023
1100110011001011,4.41303855128923
0101101110010011,4.412116998683867
0100110011001101,4.412109392382067
0000111100000111,4.410009099895603
0101010100001111,4.408799686411662
0001001101101111,4.4071802693435975
1110010111110101,4.406354425417632
0001110111101000,4.405666176047364
1101110111101010,4.402633527354141
1000111111010001,4.401064060318712
0101010111010111,4.40044617078306
0001010100001111,4.399176274234784
1011110111001111,4.398035420404934
0110111011011011,4.3971198154273825
0100100110000111,4.396838498613005
0000111101111111,4.394836811223492
0010110101100110,4.394221161518798
0101110001001100,4.393680515008398
0000000111101110,4.391299093762225
0001011111000110,4.390191692181479
0110110011001100,4.39012072218623
1000111110111110,4.389656885471416
0001011111000010,4.389466169005832
1111111101011101,4.3893982356523775
0010010111100010,4.389345997773531
1001111111000101,4.3885746029000545
0010111111000001,4.388039109830418
1000110110000111,4.38781197014418
1101010101011110,4.386334584265171
1000101101001111,4.385473935926605
1000111111001011,4.384410395205623
0100111101011011,4.3834150535332554
1000110111111000,4.382148340292476
0011110111000011,4.381656366780573
1100100101100110,4.369137657168984
1100011111101101,4.369041938609239
1100110110010110,4.366957376907892
0100110111010110,4.338351251311338
0001110101000111,4.333971550310866
0101101111011111,4.328960979484411
0101010101111111,4.317042280972506
